name	Pvalue	MaintainingScore
NMT1	2.5	0.0583566180580026
NMT2	2.5	0.110056315620338
NOC3L	2.5	0.427711079506091
NOL10	2.5	0.266332935860016
NOL11	2.5	0.190609928212175
NOL6	1.04575749056068	-0.194920731040294
NOL8	2.5	0.510635412281423
NOL9	2.5	1.29992888632165
NOMO1	2.5	0.528029854499824
NOP2	2.5	0.166775189262227
NSD1	2.5	-0.215137116362503
NSF	2.5	0.399358969221059
NUP133	2.5	0.517871853675705
NUP155	2.5	0.49150280570384
NUP160	2.5	0.635574963695593
NUP188	2.5	0.855865309375544
NUP210	2.5	0.510640538597019
NUP214	2.5	0.625329467849625
NUP88	2.5	0.691360520659239
NUP93	2.5	0.440603110681903
NVL	2.5	0.475290741916149
NXF1	2.5	0.366133923108417
OGDH	2.5	0.496391266016464
ORC1	0.481486060122113	0.200618361661547
ORC2	2.5	0.614167920468408
ORC3	2.5	0.454989215801108
ORC5	2.5	0.163315825763081
PAF1	2.5	0.822730140505703
PAK1IP1	1.09691001300806	-0.369623663886454
PARP2	2.5	0.378328120589763
PBRM1	2.5	0.557969632164599
PC	0	-2.5709818579312
PCCA	0	-2.71835102799521
PCCB	0	-3.18550030889353
PCK2	0	-2.74345747221821
PDCD11	2.5	0.20124676870801
PDS5A	2.5	0.343208126840586
PES1	2.5	0.162605575713064
PFKL	2.5	0.484902228805092
PFKP	2.5	0.358571605954773
PHIP	2	-0.599682629484017
PITRM1	2.5	0.563705474127323
PLAA	2.5	0.535405061346613
PLEC	2.5	0.60611482154847
PLK1	2.5	0.564778327738908
PLRG1	2.5	0.344799282251268
POGZ	2.5	0.417198639480629
POLA1	2.5	0.843250807970308
POLD1	2.5	0.528763321488422
POLE	2.5	0.683640536817602
POLR1A	2.5	0.477838012289957
POLR1B	2.5	0.434303058324512
POLR2A	0.292429823902064	0.418512774102267
POLR2B	0.823908740944319	0.492613386752314
POU5F1	2.5	0.334948205088162
PPAN	2.5	0.179922612440914
PRMT1	0.318758762624413	0.209269633870589
PRPF40A	2.5	0.724422475616709
PRPF8	2.5	0.419946496999551
PRRC2C	2.5	0.314776592204889
PSMD3	2.5	0.306012238842416
PUM3	2.5	0.234552062353312
PWP2	2.5	0.348461369468729
RAD21	2.5	0.894540274480642
RAD50	2.5	0.513788695470681
RANBP2	2.5	0.685238788133299
RBM19	2.5	0.177583519194975
RBM26	2.5	0.364444199555195
RBM28	0.318758762624413	0.114021916906451
RBM34	2.5	0.368420063598359
RBMX	0.301029995663981	-0.18897512393307
RBPJ	2.5	0.451244061093415
RCC2	0	-0.0207983669981459
RCOR2	2.5	0.584760120445688
RFC1	2.5	0.413251013345877
RIF1	2.5	1.39768835898259
RNF213	2.5	0.41816748066579
RPA1	2.5	0.20339146505111
RPL3	0.301029995663981	0.0712077534073844
RPL5	2.5	0.0212410804932906
RPN2	0.886056647693163	0.577560077707907
RPP30	2.5	0.258511837715344
RRP1B	2.5	0.093738039661444
RRP9	2.5	0.266668122898847
RSL1D1	2.5	0.282085551247426
SAFB	2.5	0.537170202059057
SAFB2	2.5	0.518738380800109
SALL4	2.5	0.440814710844661
SBNO1	2.5	0.522851092267413
SDHA	0	1.96480159141117
SEH1L	2.5	0.528268869655612
SENP3	2.5	0.344824568628978
SF3A2	2.5	0.542770881317782
SF3B3	2.5	0.554666838017336
SIN3A	2.5	0.525873250102003
SLC25A5	0	0.705078190817429
SMARCA1	2.5	0.964956552248418
SMARCA4	2.5	0.372935163828351
SMARCA5	0.301029995663981	-0.142015704896069
SMARCAD1	2.5	0.0925859788966586
SMC1A	2.5	0.228464600941441
SMC2	2.5	0.266960248203576
SMC3	0.853871964321762	0.253395921458061
SMC4	2.5	0.205524206162067
SMCHD1	2.5	0.296350148947022
SMU1	2.5	0.15625827959403
SNRNP200	2.5	0.417305192614973
SNRPB	2.5	0.342045978375605
SRBD1	2.5	0.269509916560235
SRRM1	2.5	0.814741394577218
SRRM2	2.5	0.493917419251566
SSRP1	2.5	0.346689185323565
STAG1	2.5	0.488799657009231
STAG2	2.5	0.391937189439879
SUN1	2.5	1.02846604606917
SUPT16H	2.5	0.360036611656752
SUPT5H	2.5	0.575330991223889
SUPT6H	2.5	0.697746339959075
SUPV3L1	0	1.74929374505281
SUZ12	2.5	0.194464138077537
SYMPK	2.5	0.572881927908917
SYNCRIP	2.5	0.162512406091972
TAF1	2.5	0.844723400732025
TAF5	2.5	1.13101482018454
TAF6	2.5	0.873868580845874
TASOR	2.5	0.587836966288003
TBL3	2.5	0.177139213664325
TFCP2L1	2.5	0.643279890651339
TFIP11	2.5	0.806681678586338
THOC1	2.5	0.66624050325889
THOC2	2.5	0.541337282438
THOC5	2.5	0.642279508454136
TJP1	2.5	0.767538386923923
TOP1	2.5	0.199752293103758
TOP2A	2.5	0.190985242851767
TOP2B	2.5	0.331320436009022
TOP3B	2.5	0.138363277456842
TPR	2.5	0.405626306260613
TRIM24	2.5	0.36192661786258
TRIM25	2.5	0.366512222484249
TRIM71	2.5	0.448611059229312
TRIP12	2.5	0.191911460359908
TRRAP	2.5	0.667926369368017
TSR1	2.5	0.282071458592929
UBR4	2.5	0.61683206917873
UBTF	2.5	0.0892046695272667
UPF1	2.5	0.237693221141513
URB1	2.5	0.51768234955627
USP10	2.5	0.266453354556733
USP36	2.5	0.0585965237708348
USP39	2.5	0.704328502274786
USP48	2.5	0.124613012991527
USP9X	2.5	0.493305662646891
UTP14A	2.5	0.21022040682532
UTP15	1.52287874528034	0.177508512610668
UTP20	2.5	0.472661905329711
UTP4	2.5	0.174859929334363
UTP6	2.5	0.0586314239626046
VIRMA	2.5	0.94816172055588
WAPL	2.5	0.526984200861913
WDR12	2.5	0.230345691722891
WDR18	2.5	0.306340259714172
WDR3	2.5	0.157469850581582
WDR43	2.5	0.233557526767351
WDR46	2.5	0.00786436781717303
WDR74	2.5	0.241035999070016
WDR75	2.5	0.571392321223706
WDR76	2.5	0.283416016159705
XAB2	2.5	0.536826713244213
XRCC5	2.5	0.870122920811679
XRCC6	2.5	0.37021672767705
YLPM1	2.5	0.54426974412386
YTHDC1	2.5	0.226498154698246
YWHAQ	0	-0.759997784920149
YY1	2.5	0.375610807010523
ZC3H14	2.5	0.7809409398584
ZC3H18	2.5	0.748102040107955
ZFP57	2.5	0.286078580689832
ZFR	2.5	0.492104851578543
ZMYM2	2.5	0.428439769261512
ZMYM4	2.5	0.355542542816126
ZNF462	2.5	0.36878913327609
ZNF512	2.5	-0.237458383770346
ZNF638	2.5	0.398610426656082
